,team1,date,matchday,stadium,result,goals,team2,total_shots,shots_on_target,goals_on_penalty,total_penalties,percentage_possession,fouls,yellow_cards,red_cards,season,completed_passings,total_passings,corners
0,Juventus,2019-08-24,Giornata n. 1,Ospiti,V,1.0,Parma,14.0,4.0,0,0,62.0,14.0,3,0,2019-2020,,,
0,Fiorentina,2019-08-24,Giornata n. 1,Casa,P,3.0,Napoli,19.0,5.0,1,1,43.0,22.0,2,0,2019-2020,,,
0,Napoli,2019-08-24,Giornata n. 1,Ospiti,V,4.0,Fiorentina,14.0,5.0,1,1,57.0,18.0,4,0,2019-2020,,,
0,Parma,2019-08-24,Giornata n. 1,Casa,P,0.0,Juventus,9.0,3.0,0,0,38.0,16.0,2,0,2019-2020,,,
0,Atalanta,2019-08-25,Giornata n. 1,Ospiti,V,3.0,SPAL,22.0,13.0,0,0,59.0,21.0,1,0,2019-2020,,,
0,Milan,2019-08-25,Giornata n. 1,Ospiti,P,0.0,Udinese,13.0,0.0,0,0,58.0,12.0,3,0,2019-2020,,,
0,Torino,2019-08-25,Giornata n. 1,Casa,V,2.0,Sassuolo,12.0,5.0,0,0,35.0,22.0,4,0,2019-2020,,,
0,Lazio,2019-08-25,Giornata n. 1,Ospiti,V,3.0,Sampdoria,19.0,10.0,0,0,50.0,12.0,2,0,2019-2020,,,
0,Bologna,2019-08-25,Giornata n. 1,Ospiti,N,1.0,Hellas Verona,15.0,1.0,1,1,74.0,16.0,3,0,2019-2020,,,
0,Sassuolo,2019-08-25,Giornata n. 1,Ospiti,P,1.0,Torino,20.0,9.0,0,0,65.0,16.0,3,0,2019-2020,,,
0,Brescia,2019-08-25,Giornata n. 1,Ospiti,V,1.0,Cagliari,9.0,1.0,1,1,41.0,14.0,2,0,2019-2020,,,
0,Cagliari,2019-08-25,Giornata n. 1,Casa,P,0.0,Brescia,14.0,4.0,0,0,59.0,12.0,2,0,2019-2020,,,
0,Roma,2019-08-25,Giornata n. 1,Casa,N,3.0,Genoa,23.0,9.0,0,0,54.0,15.0,3,0,2019-2020,,,
0,Sampdoria,2019-08-25,Giornata n. 1,Casa,P,0.0,Lazio,16.0,7.0,0,0,50.0,12.0,2,0,2019-2020,,,
0,Genoa,2019-08-25,Giornata n. 1,Ospiti,N,3.0,Roma,5.0,3.0,1,1,46.0,16.0,1,0,2019-2020,,,
0,SPAL,2019-08-25,Giornata n. 1,Casa,P,2.0,Atalanta,9.0,3.0,0,0,41.0,15.0,2,0,2019-2020,,,
0,Hellas Verona,2019-08-25,Giornata n. 1,Casa,N,1.0,Bologna,5.0,2.0,0,0,26.0,13.0,1,1,2019-2020,,,
0,Udinese,2019-08-25,Giornata n. 1,Casa,V,1.0,Milan,19.0,6.0,0,0,42.0,17.0,1,0,2019-2020,,,
0,Lecce,2019-08-26,Giornata n. 1,Ospiti,P,0.0,Inter,16.0,2.0,0,0,40.0,10.0,2,1,2019-2020,,,
